seed,baseline,n_train,accuracy
0,XGBoost values-only,50,0.5
0,XGBoost + schema,50,0.996
0,XGBoost values-only,100,0.502
0,XGBoost + schema,100,0.996
0,XGBoost values-only,250,0.497
0,XGBoost + schema,250,0.999
0,XGBoost values-only,500,0.506
0,XGBoost + schema,500,0.999
0,XGBoost values-only,1000,0.508
0,XGBoost + schema,1000,0.996
0,XGBoost values-only,2500,0.509
0,XGBoost + schema,2500,0.999
0,XGBoost values-only,5000,0.504
0,XGBoost + schema,5000,0.999
1,XGBoost values-only,50,0.504
1,XGBoost + schema,50,0.988
1,XGBoost values-only,100,0.504
1,XGBoost + schema,100,0.997
1,XGBoost values-only,250,0.506
1,XGBoost + schema,250,0.997
1,XGBoost values-only,500,0.505
1,XGBoost + schema,500,0.997
1,XGBoost values-only,1000,0.504
1,XGBoost + schema,1000,0.999
1,XGBoost values-only,2500,0.503
1,XGBoost + schema,2500,1.0
1,XGBoost values-only,5000,0.495
1,XGBoost + schema,5000,1.0
2,XGBoost values-only,50,0.514
2,XGBoost + schema,50,0.997
2,XGBoost values-only,100,0.499
2,XGBoost + schema,100,0.997
2,XGBoost values-only,250,0.504
2,XGBoost + schema,250,0.997
2,XGBoost values-only,500,0.509
2,XGBoost + schema,500,0.997
2,XGBoost values-only,1000,0.502
2,XGBoost + schema,1000,1.0
2,XGBoost values-only,2500,0.502
2,XGBoost + schema,2500,1.0
2,XGBoost values-only,5000,0.502
2,XGBoost + schema,5000,1.0
